customer_id,sku,qty,cents
cust0271,sku194,6,20737
cust0041,sku083,1,16605
cust0691,sku031,3,28307
cust0747,sku349,6,44439
cust0969,sku194,1,32195
cust0372,sku385,1,4187
cust0137,sku228,1,13880
cust0875,sku347,3,42552
cust0787,sku094,5,49467
cust0876,sku141,2,18805
cust0262,sku262,7,17957
cust0352,sku343,5,14068
cust0461,sku060,3,31616
cust0645,sku099,7,42235
cust0124,sku203,2,9857
cust0494,sku289,7,31059
cust0428,sku141,2,37259
cust0761,sku156,2,15704
cust0070,sku367,6,44244
cust0331,sku336,3,41010
cust0609,sku396,4,33430
cust0608,sku076,2,38883
cust0450,sku002,7,5494
cust0752,sku338,2,3981
cust0519,sku198,7,4407
cust0699,sku243,3,16753
cust0069,sku340,2,41859
cust0188,sku065,7,125
cust0701,sku227,2,3028
cust0087,sku213,1,1679
cust0914,sku082,7,22355
cust0180,sku344,5,11248
cust0364,sku340,1,45157
cust0665,sku078,5,6046
cust0146,sku188,3,20610
cust0995,sku387,2,30262
cust0762,sku146,7,16866
cust0117,sku230,3,4886
cust0298,sku011,5,2104
cust0999,sku207,6,41147
cust0187,sku235,4,8230
cust0507,sku083,6,6147
cust0529,sku384,4,40543
cust0762,sku291,6,13013
cust0727,sku365,1,22661
cust0227,sku137,5,36408
cust0967,sku379,5,32258
cust0429,sku392,3,14616
cust0597,sku123,3,36907
cust0595,sku294,3,21949
cust0174,sku178,2,47446
cust0085,sku086,4,16593
cust0236,sku024,7,8285
cust0642,sku385,7,6978
cust0665,sku322,3,31080
cust0818,sku204,4,15881
cust0289,sku000,7,44461
cust0094,sku282,5,23651
cust0781,sku285,6,24314
cust0859,sku165,7,34009
cust0207,sku245,6,1010
cust0550,sku263,2,22456
cust0882,sku005,3,7601
cust0492,sku350,7,47813
cust0589,sku298,6,21325
cust0419,sku271,7,31442
cust0345,sku043,5,21448
cust0013,sku149,7,2115
cust0126,sku322,2,50006
cust0911,sku147,5,37793
cust0183,sku122,7,37639
cust0241,sku159,5,5066
cust0232,sku396,4,2198
cust0251,sku093,5,8616
cust0895,sku032,3,5865
cust0821,sku172,7,40413
cust0455,sku209,2,13405
cust0769,sku053,5,27501
cust0767,sku158,1,5543
cust0630,sku102,6,44404
cust0928,sku053,7,13956
cust0483,sku112,6,16846
cust0880,sku268,1,46991
cust0668,sku124,2,46269
cust0296,sku042,5,39917
cust0313,sku201,7,10036
cust0323,sku393,4,6522
cust0035,sku350,5,41675
cust0768,sku392,4,45437
cust0452,sku133,4,23650
cust0155,sku297,3,18012
cust0040,sku119,6,10819
cust0665,sku070,4,50048
cust0781,sku327,4,16306
cust0552,sku027,2,13142
cust0835,sku272,5,42611
cust0548,sku000,5,34566
cust0960,sku090,7,47953
cust0440,sku047,7,23091
cust0442,sku091,5,7561
cust0865,sku173,4,35916
cust0999,sku068,7,38113
cust0095,sku112,1,11674
cust0757,sku397,2,21606
cust0151,sku169,7,40559
cust0170,sku081,3,41353
cust0758,sku373,3,30711
cust0034,sku202,3,48374
cust0340,sku244,5,46814
cust0860,sku115,4,36308
cust0008,sku349,4,28477
cust0894,sku275,1,27011
cust0092,sku063,1,2174
cust0161,sku146,4,36780
cust0068,sku322,2,11952
cust0089,sku316,4,21907
cust0828,sku315,3,18317
cust0420,sku272,1,38627
cust0280,sku370,2,7760
cust0663,sku399,2,48976
cust0651,sku315,1,1352
cust0430,sku184,2,48321
cust0541,sku375,4,19224
cust0854,sku192,3,16903
cust0063,sku323,1,2565
cust0712,sku329,4,26074
cust0848,sku247,2,41219
cust0453,sku210,6,42552
cust0042,sku355,2,33011
cust0712,sku002,1,16829
cust0970,sku065,6,19769
cust0573,sku156,1,28326
cust0666,sku332,1,25474
cust0514,sku350,4,41919
cust0231,sku344,5,25478
cust0652,sku127,6,19016
cust0096,sku098,2,7895
cust0828,sku133,3,21933
cust0156,sku145,2,45504
cust0237,sku204,3,41032
cust0057,sku358,6,102
cust0017,sku320,3,42504
cust0469,sku156,7,548
cust0911,sku129,5,41547
cust0671,sku123,1,47228
cust0300,sku061,3,15027
cust0734,sku039,2,41505
cust0968,sku059,5,31220
cust0577,sku078,4,5618
cust0367,sku278,3,7730
cust0814,sku104,3,25539
cust0057,sku118,5,37367
cust0528,sku291,5,8470
cust0472,sku069,1,40139
cust0282,sku259,4,24417
cust0422,sku019,5,934
cust0173,sku190,6,1674
cust0708,sku380,7,20381
cust0834,sku190,2,39755
cust0881,sku082,4,23648
cust0182,sku154,1,27057
cust0162,sku090,7,41023
cust0925,sku340,1,20236
cust0307,sku134,6,46623
cust0176,sku233,5,10652
cust0779,sku225,1,38958
cust0162,sku228,5,25392
cust0519,sku363,6,38199
cust0303,sku097,2,27866
cust0378,sku374,7,26338
cust0522,sku128,1,16374
cust0322,sku189,3,45689
cust0488,sku107,5,21224
cust0926,sku297,4,20630
cust0760,sku112,4,32575
cust0546,sku129,5,40508
cust0445,sku219,7,36483
cust0786,sku012,1,1680
cust0261,sku244,4,33528
cust0151,sku021,3,20622
cust0743,sku086,5,32351
cust0347,sku140,2,31021
cust0822,sku168,5,7604
cust0984,sku247,1,16521
cust0519,sku046,3,15891
cust0077,sku107,4,24084
cust0746,sku041,2,824
cust0845,sku294,4,33231
cust0525,sku033,3,35181
cust0333,sku214,5,6229
cust0411,sku157,1,46741
cust0226,sku172,3,11525
cust0879,sku214,6,27394
cust0037,sku125,6,23551
cust0359,sku119,6,32469
cust0929,sku210,1,4463
cust0411,sku260,7,14088
cust0319,sku258,6,21123
cust0264,sku289,5,34287
cust0950,sku020,3,32079
cust0586,sku097,7,4084
cust0904,sku318,1,13637
cust0047,sku348,2,46417
cust0878,sku373,7,23266
cust0537,sku130,5,5702
cust0696,sku374,7,4820
cust0811,sku239,7,12679
cust0711,sku252,3,3255
cust0951,sku380,2,25009
cust0911,sku190,3,23039
cust0399,sku359,4,7198
cust0671,sku155,6,37720
cust0484,sku252,4,35857
cust0049,sku288,5,30181
cust0244,sku068,2,31195
cust0681,sku042,1,9345
cust0558,sku241,4,48454
cust0803,sku141,5,20714
cust0575,sku122,6,45889
cust0327,sku261,7,29619
cust0997,sku302,1,7676
cust0226,sku290,6,33402
cust0301,sku373,7,45363
cust0629,sku141,2,29517
cust0613,sku245,7,12117
cust0885,sku149,3,43674
cust0254,sku025,7,1557
cust0608,sku324,7,13906
